PrimaryKey,Filename,Quality,Piece,Composer,Performer,Instrument,License,Link,Chunks
96,"Orchestral Suite no. 2 in B minor, BWV 1067 - 3. Sarabande.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 3. Sarabande",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,26
97,"Orchestral Suite no. 2 in B minor, BWV 1067 - 4. Bourree I & II.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 4. Bourree I & II",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,50
98,"Orchestral Suite no. 2 in B minor, BWV 1067 - 5. Polonaise & Double.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 5. Polonaise & Double",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,80
99,"Orchestral Suite no. 2 in B minor, BWV 1067 - 6. Menuett.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 6. Menuett",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,49
100,"Orchestral Suite no. 2 in B minor, BWV 1067 - 7. Badinerie.flac",Mid,"Orchestral Suite no. 2 in B minor, BWV 1067 - 7. Badinerie",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3774-orchestral-suite-no-2-in-b-minor-bwv-1067/,40
101,"Concerto in A Minor, Op. 3_6   L'Estro Armonico.mp3",High,"Concerto in A Minor, Op. 3_6   L'Estro Armonico",Vivaldi A.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3738-lestro-armonico-op-3/,215
102,"Concerto in D Major, Op. 3_9 _L'estro armonico_.mp3",High,"Concerto in D Major, Op. 3_9 _L'estro armonico_",Vivaldi A.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3738-lestro-armonico-op-3/,213
103,"Concerto in E Major, Op. 3_12 _L'estro armonico_.mp3",High,"Concerto in E Major, Op. 3_12 _L'estro armonico_",Vivaldi A.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3738-lestro-armonico-op-3/,257
104,Christoph Willibald Gluck - Ballet Suite - a. Iphigenie en Aulide.flac,Mid,Christoph Willibald Gluck - Ballet Suite - a. Iphigenie en Aulide,Gluck C.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/20781-gluck-ballet-suite-no-1/,113
105,Christoph Willibald Gluck - Ballet Suite - b. Orfeo.flac,Mid,Christoph Willibald Gluck - Ballet Suite - b. Orfeo,Gluck C.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/20781-gluck-ballet-suite-no-1/,149
106,Christoph Willibald Gluck - Ballet Suite - c. Armide Musette.flac,Mid,Christoph Willibald Gluck - Ballet Suite - c. Armide Musette,Gluck C.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/20781-gluck-ballet-suite-no-1/,44
107,Christoph Willibald Gluck - Ballet Suite - d. Armide Sicilienne.flac,Mid,Christoph Willibald Gluck - Ballet Suite - d. Armide Sicilienne,Gluck C.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/20781-gluck-ballet-suite-no-1/,81
108,Christoph Willibald Gluck - Fruhlingsfeier.flac,High,Christoph Willibald Gluck - Fruhlingsfeier,Gluck C.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/20781-gluck-ballet-suite-no-1/,329
109,Beethoven - Douze Danses Allemandes - 1 Do majeur.flac,Low,Beethoven - Douze Danses Allemandes - 1 Do majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,65
110,Beethoven - Douze Danses Allemandes - 2 La majeur.flac,Low,Beethoven - Douze Danses Allemandes - 2 La majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,56
111,Beethoven - Douze Danses Allemandes - 3 Fa majeur.flac,Low,Beethoven - Douze Danses Allemandes - 3 Fa majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,135
112,Beethoven - Douze Danses Allemandes - 4 Sib majeur.flac,Low,Beethoven - Douze Danses Allemandes - 4 Sib majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,34
113,Beethoven - Douze Danses Allemandes - 5 Mib majeur.flac,Low,Beethoven - Douze Danses Allemandes - 5 Mib majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,56
114,Beethoven - Douze Danses Allemandes - 6 Sol majeur.flac,Low,Beethoven - Douze Danses Allemandes - 6 Sol majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,40
115,Beethoven - Douze Danses Allemandes - 7 Do majeur.flac,Low,Beethoven - Douze Danses Allemandes - 7 Do majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,40
116,Beethoven - Douze Danses Allemandes - 8 La majeur.flac,Low,Beethoven - Douze Danses Allemandes - 8 La majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,51
117,Beethoven - Douze Danses Allemandes - 10 Re majeur.flac,Low,Beethoven - Douze Danses Allemandes - 10 Re majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,64
118,Beethoven - Douze Danses Allemandes - 11 Sol majeur.flac,Low,Beethoven - Douze Danses Allemandes - 11 Sol majeur,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/8661-12-german-dances-woo-8/,64
